Date;Open;High;Low;Close;Volume
31.12.74;762300;762300;752600;754600;0
02.01.75;752900;754400;742900;745100;0
03.01.75;742400;745400;739400;744400;0
06.01.75;741900;744100;735900;743700;0
07.01.75;739900;744900;738400;742700;0
08.01.75;745900;750000;745400;747300;0
09.01.75;749300;749700;746500;747800;0
10.01.75;745400;750800;745200;750700;0
13.01.75;750400;751000;747900;748300;0
14.01.75;746400;748400;745600;748100;0
15.01.75;747900;749200;746400;746900;0
16.01.75;746900;747000;743400;744600;0
17.01.75;743800;743900;741400;741600;0
20.01.75;742900;746300;742900;745800;0
21.01.75;746700;746900;743000;743200;0
22.01.75;745000;745700;739100;743800;0
23.01.75;743200;746400;741800;745800;0
24.01.75;747900;749800;746300;749100;0
27.01.75;748900;749900;746200;746300;0
28.01.75;745900;746600;744100;745500;0
29.01.75;746900;748600;746500;748600;0
30.01.75;746600;747600;744900;745200;0
31.01.75;744900;745300;743900;744900;0
03.02.75;746000;746600;745000;745200;0
04.02.75;743400;744400;742500;744200;0
05.02.75;744100;744600;743400;743600;0
06.02.75;741800;743600;741000;743200;0
07.02.75;744100;744300;743300;744200;0
10.02.75;742900;743300;742400;742500;0
11.02.75;743200;744000;738200;743700;0
13.02.75;747400;753600;747100;752700;0
14.02.75;752900;753700;749400;751800;0
18.02.75;748900;752600;748600;752300;0
19.02.75;752900;754900;752400;752500;0
20.02.75;752600;755300;752300;754600;0
21.02.75;754900;755400;751900;752900;0
24.02.75;753600;754400;753600;753800;0
25.02.75;755900;755900;751000;751300;0
26.02.75;752400;752600;750100;752100;0
27.02.75;751100;751800;748300;749400;0
28.02.75;749900;749900;747900;749900;0
03.03.75;750200;754400;749100;749500;0
04.03.75;748400;751900;743900;743900;0
05.03.75;743900;747000;743300;745600;0
06.03.75;746700;748300;746700;747500;0
07.03.75;746400;746400;743700;744900;0
10.03.75;744000;744700;743000;744100;0
11.03.75;746000;747400;745600;746900;0
12.03.75;744900;745600;744500;745000;0
13.03.75;745800;746900;745800;746400;0
14.03.75;745300;745600;745000;745600;0
17.03.75;745400;746200;744500;745900;0
18.03.75;745900;746400;745200;745500;0
